model,sentence_id,pronoun,subject_type
human_translations,1,sen,overt
human_translations,1,ben,overt
human_translations,2,sen,overt
human_translations,2,ben,overt
human_translations,3,sen,overt
human_translations,4,o,overt
human_translations,4,o,overt
human_translations,5,sen,overt
human_translations,5,ben,overt
human_translations,6,o,overt
human_translations,6,o,overt
human_translations,7,sen,overt
human_translations,7,ben,overt
human_translations,8,o,overt
human_translations,8,o,overt
human_translations,9,sen,overt
human_translations,9,ben,overt
human_translations,10,o,overt
human_translations,11,sen,overt
human_translations,11,ben,overt
human_translations,12,o,overt
human_translations,12,o,overt
human_translations,13,sen,overt
human_translations,13,ben,overt
human_translations,14,o,overt
human_translations,14,o,overt
human_translations,15,sen,overt
human_translations,15,ben,overt
human_translations,16,o,overt
human_translations,16,o,overt
human_translations,17,sen,overt
human_translations,17,ben,overt
human_translations,18,o,overt
human_translations,18,o,overt
human_translations,19,sen,overt
human_translations,19,ben,overt
human_translations,20,sen,overt
human_translations,21,sen,overt
human_translations,21,ben,overt
human_translations,22,o,overt
human_translations,22,o,overt
human_translations,23,sen,overt
human_translations,23,ben,overt
human_translations,24,o,overt
human_translations,24,o,overt
human_translations,25,sen,overt
human_translations,25,ben,overt
human_translations,26,o,overt
human_translations,26,o,overt
human_translations,27,,dropped
human_translations,27,,dropped
human_translations,28,sen,overt
human_translations,29,sen,overt
human_translations,29,ben,overt
human_translations,30,o,overt
human_translations,30,o,overt
human_translations,31,ben,overt
human_translations,31,sen,overt
human_translations,32,o,overt
human_translations,32,o,overt
human_translations,33,sen,overt
human_translations,33,ben,overt
human_translations,34,o,overt
human_translations,34,ben,overt
human_translations,35,o,overt
human_translations,35,o,overt
human_translations,36,sen,overt
human_translations,36,ben,overt
human_translations,37,o,overt
human_translations,37,o,overt
human_translations,38,ben,overt
human_translations,38,sen,overt
human_translations,39,sen,overt
human_translations,39,ben,overt
human_translations,40,o,overt
human_translations,40,o,overt
human_translations,41,ben,overt
human_translations,41,sen,overt
human_translations,42,o,overt
human_translations,42,o,overt
human_translations,43,sen,overt
human_translations,43,ben,overt
human_translations,44,o,overt
human_translations,44,o,overt
human_translations,45,ben,overt
human_translations,45,sen,overt
human_translations,46,o,overt
human_translations,46,ben,overt
human_translations,47,sen,overt
human_translations,47,ben,overt
human_translations,48,sen,overt
human_translations,48,ben,overt
human_translations,49,o,overt
human_translations,49,o,overt
human_translations,50,onlar,overt
human_translations,50,biz,overt
human_translations,51,o,overt
human_translations,51,o,overt
human_translations,52,ben,overt
human_translations,52,sen,overt
human_translations,53,biz,overt
human_translations,53,onlar,overt
human_translations,54,sen,overt
human_translations,54,ben,overt
human_translations,55,o,overt
human_translations,55,o,overt
human_translations,56,ben,overt
human_translations,56,sen,overt
human_translations,57,o,overt
human_translations,57,o,overt
human_translations,58,sen,overt
human_translations,58,ben,overt
human_translations,59,o,overt
human_translations,59,o,overt
human_translations,60,onlar,overt
human_translations,60,biz,overt
human_translations,61,o,overt
human_translations,61,o,overt
human_translations,62,biz,overt
human_translations,62,onlar,overt
human_translations,63,sen,overt
human_translations,63,ben,overt
human_translations,64,o,overt
human_translations,64,o,overt
human_translations,65,onlar,overt
human_translations,65,biz,overt
human_translations,66,sen,overt
human_translations,66,ben,overt
human_translations,67,o,overt
human_translations,67,o,overt
human_translations,68,onlar,overt
human_translations,68,biz,overt
human_translations,69,o,overt
human_translations,69,o,overt
human_translations,70,sen,overt
human_translations,70,ben,overt
human_translations,71,biz,overt
human_translations,71,onlar,overt
human_translations,72,o,overt
human_translations,72,o,overt
human_translations,73,ben,overt
human_translations,73,sen,overt
human_translations,74,onlar,overt
human_translations,74,biz,overt
human_translations,75,o,overt
human_translations,75,o,overt
human_translations,76,sen,overt
human_translations,76,ben,overt
human_translations,77,biz,overt
human_translations,77,onlar,overt
human_translations,78,o,overt
human_translations,78,o,overt
human_translations,79,o,overt
human_translations,80,sen,overt
human_translations,80,ben,overt
human_translations,81,biz,overt
human_translations,81,onlar,overt
human_translations,82,o,overt
human_translations,82,o,overt
human_translations,83,o,overt
human_translations,83,,dropped
human_translations,84,onlar,overt
human_translations,84,biz,overt
human_translations,85,o,overt
human_translations,85,o,overt
human_translations,86,ben,overt
human_translations,86,sen,overt
human_translations,87,biz,overt
human_translations,87,onlar,overt
human_translations,88,sen,overt
human_translations,88,ben,overt
human_translations,89,onlar,overt
human_translations,89,biz,overt
human_translations,90,o,overt
human_translations,90,o,overt
human_translations,91,ben,overt
human_translations,91,sen,overt
human_translations,92,biz,overt
human_translations,92,onlar,overt
human_translations,93,o,overt
human_translations,93,o,overt
human_translations,94,onlar,overt
human_translations,94,biz,overt
human_translations,95,o,overt
human_translations,95,o,overt
human_translations,96,ben,overt
human_translations,96,sen,overt
human_translations,97,biz,overt
human_translations,97,onlar,overt
human_translations,98,onlar,overt
human_translations,98,biz,overt
human_translations,99,o,overt
human_translations,99,o,overt
human_translations,100,ben,overt
human_translations,100,sen,overt
human_translations,101,onlar,overt
human_translations,101,biz,overt
human_translations,102,sen,overt
human_translations,102,ben,overt
human_translations,103,o,overt
human_translations,103,o,overt
human_translations,104,ben,overt
human_translations,104,sen,overt
human_translations,105,,dropped
human_translations,105,,dropped
human_translations,106,sen,overt
human_translations,106,ben,overt
human_translations,107,o,overt
human_translations,107,o,overt
human_translations,108,o,overt
human_translations,108,o,overt
