group_id,sentence_id,coreference,pronoun,overt
1,1,1,she,0
1,2,0,he,1
2,3,1,he,0
2,4,0,she,1
3,5,1,she,0
3,6,0,he,1
4,7,1,she,0
4,8,0,he,1
5,9,1,he,0
5,10,0,she,1
6,11,1,she,0
6,12,0,he,1
7,13,1,he,0
7,14,0,she,1
8,15,1,she,0
8,16,0,he,1
9,17,1,he,0
9,18,0,she,1
10,19,1,she,0
10,20,0,he,1
11,21,1,she,0
11,22,0,he,1
12,23,1,he,0
12,24,0,she,1
13,25,1,she,0
13,26,0,he,1
14,27,1,he,0
14,28,0,she,1
15,29,1,she,0
15,30,0,he,1
16,31,1,he,0
16,32,0,she,1
17,33,1,she,0
17,34,0,he,1
18,35,1,he,0
18,36,0,she,1
19,37,1,she,0
19,38,0,he,1
20,39,1,he,0
20,40,0,she,1
21,41,1,she,0
21,42,0,he,1
22,43,1,he,0
22,44,0,she,1
23,45,1,he,0
23,46,0,she,1
24,47,1,he,0
24,48,0,she,1
25,49,1,she,0
25,50,0,he,1
26,51,1,he,0
26,52,0,she,1
27,53,1,she,0
27,54,0,he,1
28,55,1,he,0
28,56,0,she,1
29,57,1,she,0
29,58,0,he,1
30,59,1,he,0
30,60,0,she,1
31,61,1,he,0
31,62,0,she,1
32,63,1,she,0
32,64,0,he,1
33,65,1,he,0
33,66,0,she,1
34,67,1,he,0
34,68,0,she,1
35,69,1,she,0
35,70,0,he,1
36,71,1,he,0
36,72,0,she,1
37,73,1,he,0
37,74,0,she,1
38,75,1,she,0
38,76,0,he,1
39,77,1,she,0
39,78,0,he,1
40,79,1,he,0
40,80,0,she,1
41,81,1,she,0
41,82,0,he,1
42,83,1,she,0
42,84,0,he,1
43,85,1,she,0
43,86,0,he,1
44,87,1,he,0
44,88,0,she,1
45,89,1,she,0
45,90,0,he,1
46,91,1,she,0
46,92,0,he,1
47,93,1,she,0
47,94,0,he,1
48,95,1,she,0
48,96,0,he,1
49,97,1,he,0
49,98,0,she,1
50,99,1,he,0
50,100,0,she,1
51,101,1,she,0
51,102,0,he,1
52,103,1,he,0
52,103,1,he,0
52,104,0,he,0
52,104,0,she,1
53,105,1,she,1
53,105,1,she,0
53,106,0,she,1
53,106,0,he,1
54,107,1,he,0
54,107,1,he,0
54,108,0,he,0
54,108,0,she,1
55,109,1,she,0
55,109,1,she,0
55,110,0,she,0
55,110,0,he,1
56,111,1,he,0
56,111,1,he,0
56,112,0,he,0
56,112,0,she,1
57,113,1,she,0
57,113,1,she,0
57,114,0,she,0
57,114,0,he,1
58,115,1,he,0
58,115,1,he,0
58,116,0,he,0
58,116,0,she,1
59,117,1,she,0
59,117,1,she,0
59,118,0,she,0
59,118,0,he,1
60,119,1,he,0
60,119,1,he,0
60,120,0,he,0
60,120,0,she,1
61,121,1,she,0
61,121,1,she,0
61,122,0,she,0
61,122,0,he,1
62,123,1,he,0
62,123,1,he,0
62,124,0,he,0
62,124,0,she,1
63,125,1,she,0
63,125,1,she,0
63,126,0,she,0
63,126,0,he,1
64,127,1,he,0
64,127,1,he,0
64,128,0,he,0
64,128,0,she,1
65,129,1,she,0
65,129,1,she,0
65,130,0,she,0
65,130,0,he,1
66,131,1,she,0
66,131,1,she,0
66,132,0,she,0
66,132,0,he,1
67,133,1,he,0
67,133,1,he,0
67,134,0,he,0
67,134,0,she,1
68,135,1,she,0
68,135,1,she,0
68,136,0,she,0
68,136,0,he,1
69,137,1,she,0
69,137,1,she,0
69,138,0,she,0
69,138,0,he,1
70,139,1,he,0
70,139,1,he,0
70,140,0,he,0
70,140,0,she,1
71,141,1,she,0
71,141,1,she,0
71,142,0,she,0
71,142,0,he,1
72,143,1,he,0
72,143,1,he,0
72,144,0,he,0
72,144,0,she,1
73,145,1,she,0
73,145,1,she,0
73,146,0,she,0
73,146,0,he,1
74,147,1,he,0
74,147,1,he,0
74,148,0,he,0
74,148,0,she,1
75,149,1,she,0
75,149,1,she,0
75,150,0,she,0
75,150,0,he,1
76,151,1,he,0
76,151,1,he,0
76,152,0,he,0
76,152,0,she,1
77,153,1,she,0
77,153,1,she,0
77,154,0,she,0
77,154,0,he,1
78,155,1,he,0
78,155,1,he,0
78,156,0,he,0
78,156,0,she,1
79,157,1,he,0
79,157,1,he,0
79,158,0,he,0
79,158,0,she,1
80,159,1,she,0
80,159,1,she,0
80,160,0,she,0
80,160,0,he,1
81,161,1,she,0
81,161,1,she,0
81,162,0,she,0
81,162,0,he,1
82,163,1,she,0
82,163,1,she,0
82,164,0,she,0
82,164,0,he,1
83,165,1,he,0
83,165,1,he,0
83,166,0,he,0
83,166,0,she,1
84,167,1,he,0
84,167,1,he,0
84,168,0,he,0
84,168,0,she,1
85,169,1,he,0
85,169,1,he,0
85,170,0,he,0
85,170,0,she,1
86,171,1,he,0
86,171,1,he,0
86,172,0,he,0
86,172,0,she,1
87,173,1,he,0
87,173,1,he,0
87,174,0,he,0
87,174,0,she,1
88,175,1,she,0
88,175,1,she,0
88,176,0,she,0
88,176,0,he,1
89,177,1,he,0
89,177,1,he,0
89,178,0,he,0
89,178,0,she,1
90,179,1,she,0
90,179,1,she,0
90,180,0,she,0
90,180,0,he,1
91,181,1,she,0
91,181,1,she,0
91,182,0,she,0
91,182,0,he,1
92,183,1,he,0
92,183,1,he,0
92,184,0,he,0
92,184,0,she,1
93,185,1,she,0
93,185,1,she,0
93,186,0,she,0
93,186,0,he,1
94,187,1,he,0
94,187,1,he,0
94,188,0,he,0
94,188,0,she,1
95,189,1,he,0
95,189,1,he,0
95,190,0,he,0
95,190,0,she,1
96,191,1,she,0
96,191,1,she,0
96,192,0,she,0
96,192,0,he,1
