source_sentence,original_finetuned_llama_translation
"You enjoy city life, but I prefer the quiet of the countryside.",Şehir hayatından hoşlanıyorsun ama ben kırsalda sessizliğin tercih ederim. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"You might think it’s boring, but I find it fascinating.",Onun sıkıcı olduğunu düşünebilirsin ama ben onu büyüleyici buluyorum. ​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"Even Melis managed to catch the train, yet you missed it again.","Melis bile treni yakalayabildi, ama yine de seni kaçırdın.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
She believes in miracles; he believes in hard work.,"O, mucizelere inanır; o, sıkı çalışmaya inanır. ​​​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
You see only the problem; I see opportunities.,Sadece sorunu görüyorsun; Ben fırsatları görüyorum.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"He wanted to speak, but she chose silence.",O konuşmak istedi ama o sessizliği tercih etti. ​​​​​​​ ​​​​​​ ​ ​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"You may have forgotten, but I remember everything.",Sen unutmuş olabilirsin ama ben her şeyi hatırlıyorum.‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎
He admires tradition; she embraces change.,"O, geleneğe hayran; o, değişmeye açıktır. ​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​​​​​ ​​​​"
"You act before thinking, while I plan every move.",Ben her hamleyi planlarken sen düşünmeden önce hareket ediyorsun. Bu da benimle aynı zamana denk geliyor. Benimle aynı seviyeye gelinceye kadar. Bu da benimle aynı seviyeye gelinceye kadar. Benimle aynı seviyeye
"Even the children understood the lesson, yet she kept explaining it.",Çocuklar bile dersi anlamıştı ama o onu hala açıklıyordu. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
