sentence_id,source_english,human_translation_1,human_translation_2,human_translation_3,reviewer_notes,model1,model2,model3
1,Maria said that she would arrive early.,,,,,,,
2,Maria said that he would arrive early.,,,,,,,
3,David believed that he could solve the problem.,,,,,,,
4,David believed that she could solve the problem.,,,,,,,
5,Anna hoped that she would win the prize.,,,,,,,
6,Anna hoped that he would win the prize.,,,,,,,
7,Olivia thought that she deserved another chance.,,,,,,,
8,Olivia thought that he deserved another chance.,,,,,,,
9,John assumed that he was invited to the meeting.,,,,,,,
10,John assumed that she was invited to the meeting.,,,,,,,
11,Emma mentioned that she had already finished her work.,,,,,,,
12,Emma mentioned that he had already finished his work.,,,,,,,
13,Peter realized that he had made a mistake.,,,,,,,
14,Peter realized that she had made a mistake.,,,,,,,
15,Sarah claimed that she had called earlier.,,,,,,,
16,Sarah claimed that he had called earlier.,,,,,,,
17,Michael imagined that he was walking along the beach.,,,,,,,
18,Michael imagined that she was walking along the beach.,,,,,,,
19,Laura noticed that she was being watched.,,,,,,,
20,Laura noticed that he was being watched.,,,,,,,
21,Lisa knew what she wanted to order.,,,,,,,
22,Lisa knew what he wanted to order.,,,,,,,
23,Tom remembered what he said yesterday.,,,,,,,
24,Tom remembered what she said yesterday.,,,,,,,
25,Claire discovered what she had been missing.,,,,,,,
26,Claire discovered what he had been missing.,,,,,,,
27,Daniel forgot what he needed to bring.,,,,,,,
28,Daniel forgot what she needed to bring.,,,,,,,
29,Rebecca found what she was looking for.,,,,,,,
30,Rebecca found what he was looking for.,,,,,,,
31,Marcus explained what he meant by that.,,,,,,,
32,Marcus explained what she meant by that.,,,,,,,
33,Olivia asked what she should do next.,,,,,,,
34,Olivia asked what he should do next.,,,,,,,
35,Daniel predicted what he would achieve by the end of the year.,,,,,,,
36,Daniel predicted what she would achieve by the end of the year.,,,,,,,
37,Laura described what she had seen at the museum.,,,,,,,
38,Laura described what he had seen at the museum.,,,,,,,
39,Brian understood what he had done wrong.,,,,,,,
40,Brian understood what she had done wrong.,,,,,,,
41,Sophie asked whether she could attend the event.,,,,,,,
42,Sophie asked whether he could attend the event.,,,,,,,
43,Alex wondered whether he should apologize.,,,,,,,
44,Alex wondered whether she should apologize.,,,,,,,
45,Henry analyzed whether he could afford to travel abroad.,,,,,,,
46,Henry analyzed whether she could afford to travel abroad.,,,,,,,
47,Jack questioned whether he had locked the door.,,,,,,,
48,Jack questioned whether she had locked the door.,,,,,,,
49,Emily debated whether she should tell the truth.,,,,,,,
50,Emily debated whether he should tell the truth.,,,,,,,
