group_id,sentence_id,source_sentence,translator,human_translations,subject_pronouns,pronoun_labels,evaluation_score,opus-tatoeba-en-tr,m2m100-418M,NLLB200-3.3B,translategemma-4b,sentence_index,coreference,llama3.1-IT-8B,human_translations_has_onun,opus-tatoeba-en-tr_has_onun,m2m100-418M_has_onun,NLLB200-3.3B_has_onun,translategemma-4b_has_onun,llama3.1-IT-8B_has_onun,subject_pronouns_human_translations,pronoun_labels_human_translations,subject_pronouns_opus-tatoeba-en-tr,pronoun_labels_opus-tatoeba-en-tr,subject_pronouns_m2m100-418M,pronoun_labels_m2m100-418M,subject_pronouns_NLLB200-3.3B,pronoun_labels_NLLB200-3.3B,subject_pronouns_translategemma-4b,pronoun_labels_translategemma-4b,subject_pronouns_llama3.1-IT-8B,pronoun_labels_llama3.1-IT-8B,finetuned-llama3.1-IT-8B,subject_pronouns_finetuned-llama3.1-IT-8B,pronoun_labels_finetuned-llama3.1-IT-8B
1,1,Maria said that she would arrive early.,Translator2,Maria erken geleceğini söyledi,['she'],[0],5,Maria erken geleceğini söylemişti.,Meryem erken geldiğini söyledi.,Maria erken geleceğini söyledi.,"Maria, erken geleceğimi söyledim.",1,1,Maria erken gelecek.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Maria erken geleceğini söyledi.,-,"""0"""
1,2,Maria said that he would arrive early.,Translator2,Maria onun erken geleceğini söyledi.,['he'],[1],5,Maria erken geleceğini söylemişti.,Meryem erken geldiğini söyledi.,Maria onun erken geleceğini söyledi.,"Maria, erken geleceğini söyledi.",2,0,"Maria, erkenden geleceğini söyledi.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,onun,"""1""",-,"""0""",-,"""0""",onun,"""1""",-,"""0""",-,"""0""",Maria erken geleceğini söyledi.,-,"""0"""
2,3,David believed that he could solve the problem.,Translator1,David sorunu çözebileceğine inandı.,['he'],[0],5,David sorunu çözebileceğine inanıyordu.,David bu sorunun çözülebileceğine inanıyordu.,David sorunu çözebileceğine inanıyordu.,"David, bu problemi çözebileceğine inanıyordu.",1,1,"David, problemi çözebileceğini düşündü.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",David sorunu çözebileceğine inandı.,-,"""0"""
2,4,David believed that she could solve the problem.,Translator1,"David, onun sorunu çözebileceğine inandı.",['she'],[1],5,David onun sorunu çözebileceğine inanıyordu.,David bu sorunun çözülebileceğine inanıyordu.,"David, sorunu çözebileceğine inanıyordu.","David, bu sorunu çözebileceğine inanıyordu.",2,0,"David, onun problemi çözebileceğini düşünüyordu.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,onun,"""1""",onun,"""1""",-,"""0""",-,"""0""",-,"""0""",onun,"""1""",David sorunu çözebileceğine inandı.,-,"""0"""
3,5,Anna hoped that she would win the prize.,Translator2,Anna ödülü kazanacağını umuyordu.,['she'],[0],5,Anna ödülü kazanmayı umuyordu.,Anna ödülü kazanacağını umuyordu.,Anna ödülü kazanmayı umuyordu.,"Anna, ödülü kazanacağını umuyordu.",1,1,"Anna, ödülü kazanacağı umudu içindeydi.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",Anna ödülü kazanacağını umuyordu.,-,"""0"""
3,6,Anna hoped that he would win the prize.,Translator2,Anna onun ödülü kazanacağını umuyordu.,['he'],[1],5,Anna ödülü onun kazanmasını umuyordu.,Anna ödülü kazanacağını umuyordu.,Anna ödülü onun kazanacağını umuyordu.,"Anna, o'nun ödülü kazanacağını umuyordu.",2,0,"Anna, o ödülü kazanacağı umudu içindeydi.",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,onun,"""1""",onun,"""1""",-,"""0""",onun,"""1""",onun,"""1""",-,"""0""","Anna, ödülü kazanacağını umuyordu.",-,"""0"""
4,7,Olivia thought that she deserved another chance.,Translator2,Olivia başka bir şansı hak ettiğini düşündü.,['she'],[0],5,Olivia bir şansı daha hak ettiğini düşünüyordu.,Olivia başka bir fırsatı hak ettiğini düşündü.,"Olivia, bir şans daha hak ettiğini düşündü.","Olivia, kendisinin tekrar bir şans hak ettiğine inanıyordu.",1,1,"Olivia, başka bir fırsat kazanmaya layık olduğunu düşünüyordu.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""","Olivia, başka bir şansını hak ettiğini düşündü.",-,"""0"""
4,8,Olivia thought that he deserved another chance.,Translator2,Olivia onun başka bir şansı hak ettiğini düşündü.,['he'],[1],5,Olivia bir şansı daha hak ettiğini düşünüyordu.,Olivia bir şans daha hak ettiğini düşünüyordu.,Olivia onun bir şans daha hak ettiğini düşündü.,"Olivia, onun yeniden bir şansı hak ettiğini düşündü.",2,0,"Olivia, ona başka bir şansın olduğunu düşündü.",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,onun,"""1""",-,"""0""",-,"""0""",onun,"""1""",onun,"""1""",-,"""0""",Olivia onun başka bir şansını hak ettiğini düşündü.,onun,"""1"""
5,9,John assumed that he was invited to the meeting.,Translator2,John toplantıya davet edildiğini varsaydı.,['he'],[0],5,John ibadete davet edildiğini sandı.,"John, toplantıya davet edildiğini kabul etti.","John, toplantıya davet edildiğini sanmıştı.","John, toplantıya davet edildiğini düşündü.",1,1,"John, toplantıya davet edildiğini düşündü.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""",-,"""0""","John, toplantıya davet edildiğini varsaydı.",-,"""0"""
5,10,John assumed that she was invited to the meeting.,Translator2,John onun toplantıya davet edildiğini varsaydı.,['she'],[1],5,John onun toplantıya davet edildiğini düşündü.,"John, toplantıya davet edildiğini kabul etti.","John, onun toplantıya davet edildiğini düşündü.","John, onun toplantıya davet edildiğini varsaydı.",2,0,"John, toplantıya davet edildiğine inandı.",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,onun,"""1""",onun,"""1""",-,"""0""",onun,"""1""",onun,"""1""",-,"""0""","John, toplantıya davet edildiğini sandı.",-,"""0"""
