model,group_id,sentence_id,coreference,subject,overt
human_translations,1,1,1,-,0
human_translations,1,2,0,onun,1
human_translations,2,3,1,-,0
human_translations,2,4,0,onun,1
human_translations,3,5,1,-,0
human_translations,3,6,0,onun,1
human_translations,4,7,1,-,0
human_translations,4,8,0,onun,1
human_translations,5,9,1,-,0
human_translations,5,10,0,onun,1
human_translations,6,11,1,-,0
human_translations,6,12,0,onun,1
human_translations,7,13,1,-,0
human_translations,7,14,0,onun,1
human_translations,8,15,1,-,0
human_translations,8,16,0,onun,1
human_translations,9,17,1,-,0
human_translations,9,18,0,onun,1
human_translations,10,19,1,-,0
human_translations,10,20,0,onun,1
human_translations,11,21,1,-,0
human_translations,11,22,0,onun,1
human_translations,12,23,1,-,0
human_translations,12,24,0,onun,1
human_translations,13,25,1,-,0
human_translations,13,26,0,onun,1
human_translations,14,27,1,-,0
human_translations,14,28,0,onun,1
human_translations,15,29,1,-,0
human_translations,15,30,0,onun,1
human_translations,16,31,1,-,0
human_translations,16,32,0,onun,1
human_translations,17,33,1,-,0
human_translations,17,34,0,onun,1
human_translations,18,35,1,-,0
human_translations,18,36,0,onun,1
human_translations,19,37,1,-,0
human_translations,19,38,0,onun,1
human_translations,20,39,1,-,0
human_translations,20,40,0,onun,1
human_translations,21,41,1,-,0
human_translations,21,42,0,onun,1
human_translations,22,43,1,-,0
human_translations,22,44,0,onun,1
human_translations,23,45,1,-,0
human_translations,23,46,0,onun,1
human_translations,24,47,1,-,0
human_translations,24,48,0,onun,1
human_translations,25,49,1,-,0
human_translations,25,50,0,onun,1
human_translations,26,51,1,-,0
human_translations,26,52,0,onun,1
human_translations,27,53,1,-,0
human_translations,27,54,0,onun,1
human_translations,28,55,1,-,0
human_translations,28,56,0,onun,1
human_translations,29,57,1,-,0
human_translations,29,58,0,onun,1
human_translations,30,59,1,-,0
human_translations,30,60,0,onun,1
human_translations,31,61,1,-,0
human_translations,31,62,0,onun,1
human_translations,32,63,1,-,0
human_translations,32,64,0,onun,1
human_translations,33,65,1,-,0
human_translations,33,66,0,onun,1
human_translations,34,67,1,-,0
human_translations,34,68,0,onun,1
human_translations,35,69,1,-,0
human_translations,35,70,0,onun,1
human_translations,36,71,1,-,0
human_translations,36,72,0,onun,1
human_translations,37,73,1,-,0
human_translations,37,74,0,onun,1
human_translations,38,75,1,-,0
human_translations,38,76,0,onun,1
human_translations,39,77,1,-,0
human_translations,39,78,0,onun,1
human_translations,40,79,1,-,0
human_translations,40,80,0,onun,1
human_translations,41,81,1,-,0
human_translations,41,82,0,onun,1
human_translations,42,83,1,-,0
human_translations,42,84,0,onun,1
human_translations,43,85,1,-,0
human_translations,43,86,0,onun,1
human_translations,44,87,1,-,0
human_translations,44,88,0,onun,1
human_translations,45,89,1,-,0
human_translations,45,90,0,onun,1
human_translations,46,91,1,-,0
human_translations,46,92,0,onun,1
human_translations,47,93,1,-,0
human_translations,47,94,0,onun,1
human_translations,48,95,1,-,0
human_translations,48,96,0,onun,1
human_translations,49,97,1,-,0
human_translations,49,98,0,onun,1
human_translations,50,99,1,-,0
human_translations,50,100,0,onun,1
human_translations,51,101,1,-,0
human_translations,51,102,0,onun,1
human_translations,52,103,1,-,0
human_translations,52,103,1,-,0
human_translations,52,104,0,-,0
human_translations,52,104,0,onun,1
human_translations,53,105,1,o,1
human_translations,53,105,1,-,0
human_translations,53,106,0,o,1
human_translations,53,106,0,onun,1
human_translations,54,107,1,-,0
human_translations,54,107,1,-,0
human_translations,54,108,0,-,0
human_translations,54,108,0,onun,1
human_translations,55,109,1,-,0
human_translations,55,109,1,-,0
human_translations,55,110,0,-,0
human_translations,55,110,0,onun,1
human_translations,56,111,1,-,0
human_translations,56,111,1,-,0
human_translations,56,112,0,-,0
human_translations,56,112,0,onun,1
human_translations,57,113,1,-,0
human_translations,57,113,1,-,0
human_translations,57,114,0,-,0
human_translations,57,114,0,onun,1
human_translations,58,115,1,-,0
human_translations,58,115,1,-,0
human_translations,58,116,0,-,0
human_translations,58,116,0,onun,1
human_translations,59,117,1,-,0
human_translations,59,117,1,-,0
human_translations,59,118,0,-,0
human_translations,59,118,0,onun,1
human_translations,60,119,1,-,0
human_translations,60,119,1,-,0
human_translations,60,120,0,-,0
human_translations,60,120,0,onun,1
human_translations,61,121,1,-,0
human_translations,61,121,1,-,0
human_translations,61,122,0,-,0
human_translations,61,122,0,onun,1
human_translations,62,123,1,-,0
human_translations,62,123,1,-,0
human_translations,62,124,0,-,0
human_translations,62,124,0,onun,1
human_translations,63,125,1,-,0
human_translations,63,125,1,-,0
human_translations,63,126,0,-,0
human_translations,63,126,0,onun,1
human_translations,64,127,1,-,0
human_translations,64,127,1,-,0
human_translations,64,128,0,-,0
human_translations,64,128,0,onun,1
human_translations,65,129,1,-,0
human_translations,65,129,1,-,0
human_translations,65,130,0,-,0
human_translations,65,130,0,onun,1
human_translations,66,131,1,-,0
human_translations,66,131,1,-,0
human_translations,66,132,0,-,0
human_translations,66,132,0,onun,1
human_translations,67,133,1,-,0
human_translations,67,133,1,-,0
human_translations,67,134,0,-,0
human_translations,67,134,0,onun,1
human_translations,68,135,1,-,0
human_translations,68,135,1,-,0
human_translations,68,136,0,-,0
human_translations,68,136,0,onun,1
human_translations,69,137,1,-,0
human_translations,69,137,1,-,0
human_translations,69,138,0,-,0
human_translations,69,138,0,onun,1
human_translations,70,139,1,-,0
human_translations,70,139,1,-,0
human_translations,70,140,0,-,0
human_translations,70,140,0,onun,1
human_translations,71,141,1,-,0
human_translations,71,141,1,-,0
human_translations,71,142,0,-,0
human_translations,71,142,0,onun,1
human_translations,72,143,1,-,0
human_translations,72,143,1,-,0
human_translations,72,144,0,-,0
human_translations,72,144,0,onun,1
human_translations,73,145,1,-,0
human_translations,73,145,1,-,0
human_translations,73,146,0,-,0
human_translations,73,146,0,onun,1
human_translations,74,147,1,-,0
human_translations,74,147,1,-,0
human_translations,74,148,0,-,0
human_translations,74,148,0,onun,1
human_translations,75,149,1,-,0
human_translations,75,149,1,-,0
human_translations,75,150,0,-,0
human_translations,75,150,0,onun,1
human_translations,76,151,1,-,0
human_translations,76,151,1,-,0
human_translations,76,152,0,-,0
human_translations,76,152,0,onun,1
human_translations,77,153,1,-,0
human_translations,77,153,1,-,0
human_translations,77,154,0,-,0
human_translations,77,154,0,onun,1
human_translations,78,155,1,-,0
human_translations,78,155,1,-,0
human_translations,78,156,0,-,0
human_translations,78,156,0,onun,1
human_translations,79,157,1,-,0
human_translations,79,157,1,-,0
human_translations,79,158,0,-,0
human_translations,79,158,0,onun,1
human_translations,80,159,1,-,0
human_translations,80,159,1,-,0
human_translations,80,160,0,-,0
human_translations,80,160,0,onun,1
human_translations,81,161,1,-,0
human_translations,81,161,1,-,0
human_translations,81,162,0,-,0
human_translations,81,162,0,onun,1
human_translations,82,163,1,-,0
human_translations,82,163,1,-,0
human_translations,82,164,0,-,0
human_translations,82,164,0,onun,1
human_translations,83,165,1,-,0
human_translations,83,165,1,-,0
human_translations,83,166,0,-,0
human_translations,83,166,0,onun,1
human_translations,84,167,1,-,0
human_translations,84,167,1,-,0
human_translations,84,168,0,-,0
human_translations,84,168,0,onun,1
human_translations,85,169,1,-,0
human_translations,85,169,1,-,0
human_translations,85,170,0,-,0
human_translations,85,170,0,onun,1
human_translations,86,171,1,-,0
human_translations,86,171,1,-,0
human_translations,86,172,0,-,0
human_translations,86,172,0,onun,1
human_translations,87,173,1,-,0
human_translations,87,173,1,-,0
human_translations,87,174,0,-,0
human_translations,87,174,0,onun,1
human_translations,88,175,1,-,0
human_translations,88,175,1,-,0
human_translations,88,176,0,-,0
human_translations,88,176,0,onun,1
human_translations,89,177,1,-,0
human_translations,89,177,1,-,0
human_translations,89,178,0,-,0
human_translations,89,178,0,onun,1
human_translations,90,179,1,-,0
human_translations,90,179,1,-,0
human_translations,90,180,0,-,0
human_translations,90,180,0,onun,1
human_translations,91,181,1,-,0
human_translations,91,181,1,-,0
human_translations,91,182,0,-,0
human_translations,91,182,0,onun,1
human_translations,92,183,1,-,0
human_translations,92,183,1,-,0
human_translations,92,184,0,-,0
human_translations,92,184,0,onun,1
human_translations,93,185,1,-,0
human_translations,93,185,1,-,0
human_translations,93,186,0,-,0
human_translations,93,186,0,onun,1
human_translations,94,187,1,-,0
human_translations,94,187,1,-,0
human_translations,94,188,0,-,0
human_translations,94,188,0,onun,1
human_translations,95,189,1,-,0
human_translations,95,189,1,-,0
human_translations,95,190,0,-,0
human_translations,95,190,0,onun,1
human_translations,96,191,1,-,0
