sentence_id,source_sentence,translator,human_translations,subject_pronouns,pronoun_labels,evaluation_score,opus-tatoeba-en-tr,m2m100-418M,NLLB200-3.3B,translategemma-4b,llama3.1-IT-8B,subject_pro_human_translations,pro_labels_human_translations,subject_pro_opus-tatoeba-en-tr,pro_labels_opus-tatoeba-en-tr,subject_pro_m2m100-418M,pro_labels_m2m100-418M,subject_pro_NLLB200-3.3B,pro_labels_NLLB200-3.3B,subject_pro_translategemma-4b,pro_labels_translategemma-4b,subject_pro_llama3.1-IT-8B,pro_labels_llama3.1-IT-8B
1,"You enjoy city life, but I prefer the quiet of the countryside.",Translator 2,Sen şehir hayatından hoşlanıyorsun ama ben kırsalın sakinliğini tercih ediyorum.,"['you', 'i']","[1, 1]",5,"Sen şehir hayatını seviyorsun, ama ben kırsalın sessizliğini tercih ediyorum.",Şehir hayatının tadını çıkarıyorsunuz ama ben köyün sessizliğini tercih ediyorum.,Şehir hayatından hoşlanıyorsun ama ben kırsalın sessizliğini tercih ediyorum.,"Şehir hayatını seviyorsun, ama ben kırsalın sakinliğini tercih ediyorum.","Şehirlere hayranlık duyorsun, ama ben kırların sükûnu tercih ediyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
2,"You might think it’s boring, but I find it fascinating.",Translator 2,Sen sıkıcı olduğunu düşünebilirsin ama ben bunu son derece ilgi çekici buluyorum.,"['you', 'i']","[1, 1]",5,Sen sıkıcı olduğunu düşünebilirsin ama ben bunu büyüleyici buluyorum.,Çok sıkıcı olduğunu düşünüyorsunuz ama ilginç olduğunu düşünüyorum.,Sıkıcı olduğunu düşünebilirsin ama ben büyüleyici buluyorum.,"Belki siz bunu sıkıcı bulursunuz, ancak ben bunun çok ilgi çekici olduğunu düşünüyorum.",Onu sıkıcı bulabilirsin ama ben onu çok ilginç buluyorum.,"[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""ben""]","[""0"", ""1""]","[""siz"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
3,"Even Melis managed to catch the train, yet you missed it again.",Translator 1,"Melis bile treni yakaladı, sen yine kaçırdın.",['you'],[1],5,Melis bile treni yakalamayı başardı ama yine kaçırdın.,"Melis bile treni yakalamayı başardı, ama yine onu kaçırdınız.","Melis bile trene yetişmeyi başardı, ama yine kaçırdın.","Hatta Melis bile treni yakalamayı başardı, ancak sen yine de kaçırdın.","Melis bile treni yakaladı, ama sen yine kaçırdın.","[""sen""]","[""1""]","[""-""]","[""0""]","[""-""]","[""0""]","[""-""]","[""0""]","[""sen""]","[""1""]","[""sen""]","[""1""]"
4,She believes in miracles; he believes in hard work.,Translator 2,O mucizelere inanıyor; o ise sıkı çalışmaya.,"['she', 'he']","[1, 1]",5,"O mucizelere inanır, o ise sıkı çalışmaya.","Mucizelere inanır, zor işlere inanır.","O mucizelere inanıyor, o da çalışmaya.","O, mucizelere inanır; o, sıkı çalışmaya inanır.",O mucizelere inanır; o da işine kilitlenir.,"[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
5,You see only the problem; I see opportunities.,Translator 1,"Sen sadece problemleri görüyorsun, bense fırsatları.","['you', 'i']","[1, 1]",5,"Sen sadece sorunu görüyorsun, ben fırsatları görüyorum.",Sadece sorunları görüyorsun; fırsatları görüyorum.,"Sen sadece sorunu görüyorsun, bense fırsatları görüyorum.",Sadece sorunu görüyorsun; ben ise fırsatları görüyorum.,Sadece problemi görüyorsun; ben fırsatları görüyorum.,"[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
6,"He wanted to speak, but she chose silence.",Translator 2,O konuşmak istedi ama o sessizliği seçti.,"['he', 'she']","[1, 1]",5,"O konuşmak istedi, ama o sessizliği seçti.",Konuşmak istiyordu ama sessizliği seçti.,"O konuşmak istedi, ama o sessizliği seçti.","Konuşmak istedi, ancak o sessizliği seçti.","Söylemek istiyordu, ama sessizlik seçti.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]"
7,"You may have forgotten, but I remember everything.",Translator 2,Sen unutmuş olabilirsin ama ben her şeyi hatırlıyorum.,"['you', 'i']","[1, 1]",5,Unutmuş olabilirsin ama ben her şeyi hatırlıyorum.,Muhtemelen unutmuşsun ama hepsini hatırlıyorum.,Sen unutmuş olabilirsin ama ben her şeyi hatırlıyorum.,"Belki unutmuşsunuz, ama ben her şeyi hatırlıyorum.","Bilmeden unutmuş olabilirsin, ama ben her şeyi hatırlıyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
8,He admires tradition; she embraces change.,Translator 2,"O geleneğe hayran, o ise değişimi benimsiyor.","['he', 'she']","[1, 1]",4,"Geleneğe hayrandır, o ise değişimi kucaklar.",Gelenekleri seviyor; değişimi kucaklıyor.,"O geleneğe hayran, o değişimi kucaklıyor.",O gelenekleri takdir ediyor; o ise değişime ayak uyduruyor.,"O, geleneklere hayranlık duyar; o, değişime sarılır.","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
9,"You act before thinking, while I plan every move.",Translator 2,"Sen düşünmeden harekete geçiyorsun, ben ise her adımı planlıyorum.","['you', 'i']","[1, 1]",5,Ben her hamleyi planlarken sen düşünmeden hareket ediyorsun.,"Düşünmeden önce hareket ediyorsun, ben de her hareketi planlıyorum.",Sen düşünmeden hareket ederken ben her hareketi planlıyorum.,"Ben her hamleyi önceden planlarken, sen düşünmeden hareket edersin.","Sana düşünmeden eylem yaparsın, ben ise her adıma plan yaparım.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
10,"Even the children understood the lesson, yet she kept explaining it.",Translator 2,Çocuklar bile dersi anlamıştı ama o anlatmaya devam etti.,['she'],[1],5,"Çocuklar bile dersi anladı, ama o bunu açıklamaya devam etti.","Çocuklar bile dersini anlıyordu, ama onu açıklamaya devam ediyordu.","Çocuklar bile dersleri anlayabiliyordu, yine de ona açıklamayı sürdürdü.","Çocuklar bile dersi anlamış, ancak o yine de onu açıklamaya devam etti.","Hatta çocuklar bile dersi anlamıştı, ama yine de açıklamaya devam etti.","[""o""]","[""1""]","[""o""]","[""1""]","[""-""]","[""0""]","[""-""]","[""0""]","[""o""]","[""1""]","[""-""]","[""0""]"
