model,subject,kept,coreference,sentence_id,group_id
human_translations,onun,1,0,2,1
human_translations,onun,1,0,4,2
human_translations,onun,1,0,6,3
human_translations,onun,1,0,8,4
human_translations,onun,1,0,10,5
human_translations,onun,1,0,12,6
human_translations,onun,1,0,14,7
human_translations,onun,1,0,16,8
human_translations,onun,1,0,18,9
human_translations,onun,1,0,20,10
human_translations,onun,1,0,22,11
human_translations,onun,1,0,24,12
human_translations,onun,1,0,26,13
human_translations,onun,1,0,28,14
human_translations,onun,1,0,30,15
human_translations,onun,1,0,32,16
human_translations,onun,1,0,34,17
human_translations,onun,1,0,36,18
human_translations,onun,1,0,38,19
human_translations,onun,1,0,40,20
human_translations,onun,1,0,42,21
human_translations,onun,1,0,44,22
human_translations,onun,1,0,46,23
human_translations,onun,1,0,48,24
human_translations,onun,1,0,50,25
human_translations,onun,1,0,52,26
human_translations,onun,1,0,54,27
human_translations,onun,1,0,56,28
human_translations,onun,1,0,58,29
human_translations,onun,1,0,60,30
human_translations,onun,1,0,62,31
human_translations,onun,1,0,64,32
human_translations,onun,1,0,66,33
human_translations,onun,1,0,68,34
human_translations,onun,1,0,70,35
human_translations,onun,1,0,72,36
human_translations,onun,1,0,74,37
human_translations,onun,1,0,76,38
human_translations,onun,1,0,78,39
human_translations,onun,1,0,80,40
human_translations,onun,1,0,82,41
human_translations,onun,1,0,84,42
human_translations,onun,1,0,86,43
human_translations,onun,1,0,88,44
human_translations,onun,1,0,90,45
human_translations,onun,1,0,92,46
human_translations,onun,1,0,94,47
human_translations,onun,1,0,96,48
human_translations,onun,1,0,98,49
human_translations,onun,1,0,100,50
human_translations,onun,1,0,102,51
human_translations,onun,1,0,104,52
human_translations,onun,1,0,106,53
human_translations,onun,1,0,108,54
human_translations,onun,1,0,110,55
human_translations,onun,1,0,112,56
human_translations,onun,1,0,114,57
human_translations,onun,1,0,116,58
human_translations,onun,1,0,118,59
human_translations,onun,1,0,120,60
human_translations,onun,1,0,122,61
human_translations,onun,1,0,124,62
human_translations,onun,1,0,126,63
human_translations,onun,1,0,128,64
human_translations,onun,1,0,130,65
human_translations,onun,1,0,132,66
human_translations,onun,1,0,134,67
human_translations,onun,1,0,136,68
human_translations,onun,1,0,138,69
human_translations,onun,1,0,140,70
human_translations,onun,1,0,142,71
human_translations,onun,1,0,144,72
human_translations,onun,1,0,146,73
human_translations,onun,1,0,148,74
human_translations,onun,1,0,150,75
human_translations,onun,1,0,152,76
human_translations,onun,1,0,154,77
human_translations,onun,1,0,156,78
human_translations,onun,1,0,158,79
human_translations,onun,1,0,160,80
human_translations,onun,1,0,162,81
human_translations,onun,1,0,164,82
human_translations,onun,1,0,166,83
human_translations,onun,1,0,168,84
human_translations,onun,1,0,170,85
human_translations,onun,1,0,172,86
human_translations,onun,1,0,174,87
human_translations,onun,1,0,176,88
human_translations,onun,1,0,178,89
human_translations,onun,1,0,180,90
human_translations,onun,1,0,182,91
human_translations,onun,1,0,184,92
human_translations,onun,1,0,186,93
human_translations,onun,1,0,188,94
human_translations,onun,1,0,190,95
human_translations,onun,1,0,192,96
opus-tatoeba-en-tr,onun,1,0,4,2
opus-tatoeba-en-tr,onun,1,0,6,3
opus-tatoeba-en-tr,onun,1,0,10,5
opus-tatoeba-en-tr,onun,1,0,14,7
opus-tatoeba-en-tr,onun,1,0,18,9
opus-tatoeba-en-tr,onun,1,0,52,26
opus-tatoeba-en-tr,onun,1,0,184,92
opus-tatoeba-en-tr,onun,1,0,186,93
m2m100-418M,kendisinin,1,1,105,53
m2m100-418M,onun,1,0,106,53
m2m100-418M,kendisinin,1,0,108,54
NLLB200-3.3B,onun,1,0,2,1
NLLB200-3.3B,onun,1,0,6,3
NLLB200-3.3B,onun,1,0,8,4
NLLB200-3.3B,onun,1,0,10,5
NLLB200-3.3B,onun,1,0,12,6
NLLB200-3.3B,onun,1,0,18,9
NLLB200-3.3B,onun,1,0,20,10
NLLB200-3.3B,onun,1,0,26,13
NLLB200-3.3B,onun,1,0,32,16
NLLB200-3.3B,onun,1,0,50,25
NLLB200-3.3B,onun,1,0,60,30
NLLB200-3.3B,onun,1,0,86,43
NLLB200-3.3B,onun,1,0,102,51
NLLB200-3.3B,onun,1,0,106,53
NLLB200-3.3B,onun,1,0,110,55
NLLB200-3.3B,onun,1,0,120,60
NLLB200-3.3B,onun,1,0,134,67
NLLB200-3.3B,onun,1,0,146,73
NLLB200-3.3B,onun,1,0,164,82
NLLB200-3.3B,onun,1,0,176,88
translategemma-4b,onun,1,0,6,3
translategemma-4b,onun,1,0,8,4
translategemma-4b,onun,1,0,10,5
translategemma-4b,onun,1,0,12,6
translategemma-4b,onun,1,0,14,7
translategemma-4b,onun,1,0,16,8
translategemma-4b,onun,1,0,18,9
translategemma-4b,onun,1,0,20,10
translategemma-4b,o'nun,1,0,22,11
translategemma-4b,onun,1,0,26,13
translategemma-4b,onun,1,0,54,27
translategemma-4b,onun,1,0,66,33
translategemma-4b,o'nun,1,0,70,35
translategemma-4b,onun,1,0,106,53
translategemma-4b,onun,1,0,108,54
translategemma-4b,o'nun,1,0,112,56
translategemma-4b,onun,1,0,114,57
translategemma-4b,onun,1,0,116,58
translategemma-4b,o'nun,1,0,126,63
translategemma-4b,kendinin,1,1,137,69
translategemma-4b,onun,1,0,138,69
translategemma-4b,onun,1,0,140,70
translategemma-4b,onun,1,0,142,71
translategemma-4b,onun,1,0,144,72
translategemma-4b,bunun,1,0,146,73
translategemma-4b,onun,1,0,150,75
translategemma-4b,o'nun,1,0,156,78
translategemma-4b,onun,1,0,158,79
translategemma-4b,kitabın,1,0,162,81
translategemma-4b,onun,1,0,166,83
translategemma-4b,onun,1,0,178,89
translategemma-4b,o'nun,1,0,184,92
llama3.1-IT-8B,onun,1,0,4,2
llama3.1-IT-8B,onun,1,0,18,9
llama3.1-IT-8B,onun,1,0,20,10
llama3.1-IT-8B,onun,1,0,112,56
llama3.1-IT-8B,onun,1,0,114,57
llama3.1-IT-8B,kadının,1,0,178,89
