human_translations,opus-tatoeba-en-tr_bleu,m2m100-418M_bleu,NLLB200-3.3B_bleu,translategemma-4b_bleu,llama3.1-IT-8B_bleu,finetuned-llama3.1-IT-8B_bleu
Sen şehir hayatından hoşlanıyorsun ama ben kırsalın sakinliğini tercih ediyorum.,24.08856270485351,17.542198478193427,47.53852732567741,57.067457770559976,17.542198478193427,26.305014340253436
Sen sıkıcı olduğunu düşünebilirsin ama ben bunu son derece ilgi çekici buluyorum.,52.38375874705952,7.270717733704594,22.00639670943515,7.188959550044094,9.29675796576443,33.47024142593403
"Melis bile treni yakaladı, sen yine kaçırdın.",29.84745896009822,16.59038701421971,20.556680845025987,17.474335703431752,65.80370064762461,19.081654556856684
O mucizelere inanıyor; o ise sıkı çalışmaya.,51.33450480401705,4.935157841536379,23.87517132417732,12.192091596713041,14.25876976452075,12.192091596713041
"Sen sadece problemleri görüyorsun, bense fırsatları.",14.923729480049115,7.492442692259767,36.88939732334405,6.27465531099474,7.267884212102741,7.267884212102741
O konuşmak istedi ama o sessizliği seçti.,59.694917920196445,23.263472697663286,59.694917920196445,36.55552228545123,12.600736402830258,61.04735835807847
Sen unutmuş olabilirsin ama ben her şeyi hatırlıyorum.,74.20884818558928,10.89644800332157,100.00000000000004,58.73949094699213,58.14307369682194,100.00000000000004
"O geleneğe hayran, o ise değişimi benimsiyor.",32.260135189272866,5.854497694024015,49.62644776757999,8.913765521398126,5.300156689756297,11.044795567078939
"Sen düşünmeden harekete geçiyorsun, ben ise her adımı planlıyorum.",5.0243511979240845,11.208466750961147,11.949988385687533,5.300156689756297,23.462350320527996,4.996872151825361
Çocuklar bile dersi anlamıştı ama o anlatmaya devam etti.,24.08856270485351,9.425159511373677,8.29519350710986,18.476860420522193,20.098339913206324,53.7284965911771
Sen uyarıyı görmezden gelebilirsin ama ben ciddiye alıyorum.,47.750342648354646,44.12484512922978,74.20884818558928,20.556680845025987,46.713797772820016,19.493995755254467
O erkenden yardıma geldi; o da tatlı saati geldi.,8.913765521398126,14.323145079400492,14.458924666162856,14.458924666162856,10.600313379512592,10.04916995660316
Sen gürültüden şikâyet ediyorsun ama ben o enerjiyi seviyorum.,26.924761780320424,23.530495254141286,20.90067144241744,19.64073254502565,9.980099403873663,17.0653267718276
O parasını özgürce harcar; o ise her kuruşu biriktirir.,24.384183193426086,5.367626065580596,24.384183193426086,26.20251007173262,11.355085821332205,8.51659301881964
Sen rahatlık istersin; ben macera.,13.134549472120788,27.05411345269698,18.575057999133602,12.223075560872525,23.356898886410004,7.267884212102741
O hayatı bir yarış gibi görüyor; o ise bir yolculuk gibi.,7.432998184513635,13.065113298388567,54.451788461394045,50.934984129906766,29.782017963590448,20.14941615706458
"Sen kıyıda güvende kalırsın, ama ben dalgalara dalarım. ",39.281465090051306,18.88588859215946,18.88588859215946,5.300156689756297,54.627576446464936,16.59038701421971
"O, tutkuyla konuşur; o da sabırla dinler.",47.49549533009781,5.893383794376546,26.924761780320424,39.93879176377878,38.940039153570254,30.34691922392703
"Sen mükemmelliği hedeflerken, ben ilerlemeyi hedefliyorum.",46.713797772820016,8.51659301881964,46.713797772820016,13.888095170058955,6.770186228657867,9.287528999566801
"Utangaç öğrenciler bile soru sordu, ama sen sessiz kaldın.",9.600960275119885,16.89983564524027,47.79995354275012,5.300156689756297,9.425159511373677,9.030367376343264
Sen kurallara körü körüne uyarsın; bense her şeyi sorgularım.,12.192091596713041,9.080027618567454,24.70315512339778,26.20251007173262,5.369488567517933,9.548450962056531
"O kolayca güvenirken, o sürekli şüphe eder.",10.786826322527471,10.923299908191149,29.071536848410968,5.300156689756297,21.36435031981171,23.356898886410004
Sen eğlenceyi kalabalıkta bulurken; ben huzuru tek başıma bulurum.,11.884631831419354,9.548450962056531,4.996872151825361,10.738977135035864,10.798033448421627,9.027235033938242
O bağlantılar kurar; o ise insanlarla arasına duvar örer.,16.14682615668325,9.030367376343264,15.685718045401451,37.1880042464665,37.1880042464665,9.080027618567454
"Sen zorluklardan kaçarken, ben onlara kucak açarım.",6.27465531099474,4.799810699119212,11.59119922599073,6.27465531099474,6.742555929751843,11.339582221952005
O şiir yazıyor; o da fizik okuyor.,22.811360354329615,11.737849637633069,31.708476589333063,49.62644776757999,15.254876080281448,11.044795567078939
"Başarının şans olduğunu düşünüyorsun, ama bence şans değil çabadır.",59.00468726392806,16.052946190434394,29.366977846282133,9.238430210261097,16.058516370438436,15.851165692617155
En genç üye bile fikirler sundu ama sen hiçbir şey demedin.,39.832871551569504,24.71244254525358,54.52469119630863,44.08231875586726,34.48444257953326,26.58483576665878
