human_translations,opus-tatoeba-en-tr_bleu,m2m100-418M_bleu,NLLB200-3.3B_bleu,translategemma-4b_bleu,llama3.1-IT-8B_bleu,finetuned-llama3.1-IT-8B_bleu
Maria erken geleceğini söyledi,39.76353643835254,12.70331870386537,66.87403049764218,9.652434877402245,31.947155212313625,66.87403049764218
Maria onun erken geleceğini söyledi.,20.801195378010608,19.357693493908812,100.00000000000004,53.7284965911771,32.46679154750989,57.89300674674101
David sorunu çözebileceğine inandı.,42.7287006396234,9.652434877402245,42.7287006396234,8.643019616048525,9.652434877402245,100.00000000000004
"David, onun sorunu çözebileceğine inandı.",29.05925408079185,8.170609724417774,20.547995616750768,19.64073254502565,26.269098944241588,47.39878501170795
Anna ödülü kazanacağını umuyordu.,30.213753973567677,100.00000000000004,30.213753973567677,53.7284965911771,8.643019616048525,100.00000000000004
Anna onun ödülü kazanacağını umuyordu.,20.412414523193153,57.89300674674101,35.930411196308434,43.47208719449914,7.267884212102741,53.7284965911771
Olivia başka bir şansı hak ettiğini düşündü.,17.286039232097053,50.000000000000014,33.03164318013807,5.934202609760488,9.980099403873663,36.88939732334405
Olivia onun başka bir şansı hak ettiğini düşündü.,15.254876080281448,12.256200970377108,36.88939732334405,55.55238068023583,14.25876976452075,59.694917920196445
John toplantıya davet edildiğini varsaydı.,19.304869754804482,23.356898886410004,27.77619034011791,27.77619034011791,27.77619034011791,64.34588841607616
John onun toplantıya davet edildiğini varsaydı.,64.34588841607616,23.356898886410004,38.260294162784476,70.71067811865478,15.619699684601283,27.77619034011791
Emma işini çoktan bitirdiğini söyledi.,32.46679154750989,40.93653765389909,17.965205598154213,27.77619034011791,27.77619034011791,7.809849842300641
"Emma, onun işini çoktan bitirdiğini söyledi.",13.83254362586636,24.795364698947967,13.888095170058955,35.930411196308434,27.890014303843827,23.356898886410004
Peter bir hata yaptığını farketti.,26.269098944241588,43.47208719449914,8.745825313180632,23.356898886410004,7.267884212102741,53.7284965911771
"Peter, onun bir hata yaptığını farketti.",36.55552228545123,24.0785655451027,6.770186228657867,61.04735835807847,27.05411345269698,39.44243648327556
Sarah daha önce aradığını söyledi.,43.47208719449914,100.00000000000004,43.47208719449914,64.34588841607616,64.34588841607616,43.47208719449914
"Sarah, onun daha önce aradığını söyledi.",24.0785655451027,56.98363775444274,27.05411345269698,100.00000000000004,61.29752413741059,24.0785655451027
Michael sahilde yürüdüğünü hayal etti.,15.619699684601283,36.55552228545123,37.99178428257963,23.356898886410004,41.11336169005198,54.10822690539397
"Michael, onun sahilde yürüdüğünü hayal etti.",72.89545183625967,41.11336169005198,27.05411345269698,31.55984539112945,54.10822690539397,72.89545183625967
Laura gözetlendiğini farketti.,12.70331870386537,9.652434877402245,12.70331870386537,7.809849842300641,6.567274736060396,12.70331870386537
"Laura, onun gözetlendiğini farketti.",10.40059768900531,9.652434877402245,10.682175159905853,26.269098944241588,22.089591134157878,10.682175159905853
Lisa ne sipariş etmek istediğini biliyordu.,100.00000000000004,100.00000000000004,100.00000000000004,70.71067811865478,41.11336169005198,100.00000000000004
Lisa onun ne sipariş etmek istediğini biliyordu.,72.89545183625967,72.89545183625967,72.89545183625967,54.10822690539397,24.598127518343304,100.00000000000004
Tom dün ne söylediğini hatırladı.,37.99178428257963,20.801195378010608,100.00000000000004,34.32945239845197,20.801195378010608,37.99178428257963
"Tom, onun dün ne söylediğini hatırladı.",17.39350277271197,8.290829875388033,17.39350277271197,28.49181887722137,13.943458243384395,56.98363775444274
Claire neyi kaçırdığını fark etti.,11.51015341649912,9.652434877402245,9.652434877402245,26.269098944241588,9.652434877402245,11.51015341649912
"Claire, onun neyi kaçırdığını fark etti.",7.715486568024961,6.916271812933183,7.654112967106117,22.089591134157878,6.916271812933183,8.290829875388033
Daniel neyi getirmesi gerektiğini unuttu.,53.7284965911771,53.7284965911771,53.7284965911771,15.619699684601283,53.7284965911771,32.46679154750989
Daniel onun neyi getirmesi gerektiğini unuttu.,45.48019047027906,16.341219448835542,16.341219448835542,15.207218222740094,45.48019047027906,15.84873897212071
Rebecca aradığı şeyi buldu.,27.534765745159184,100.00000000000004,27.534765745159184,53.7284965911771,23.643540225079395,27.534765745159184
"Rebecca, onun aradığı şeyi buldu.",16.70067963244422,47.39878501170795,16.70067963244422,51.15078115793242,15.84873897212071,17.03057835676086
Marcus ne demek istediğini açıkladı.,64.34588841607616,8.643019616048525,64.34588841607616,46.713797772820016,15.619699684601283,64.34588841607616
"Marcus, onun ne demek istediğini açıkladı.",55.780028607687655,7.492442692259767,100.00000000000004,51.33450480401705,51.33450480401705,13.83254362586636
Olivia şimdi ne yapması gerektiğini sordu.,54.10822690539397,54.10822690539397,46.713797772820016,41.11336169005198,64.34588841607616,54.10822690539397
"Olivia, onun şimdi ne yapması gerektiğini sordu.",47.750342648354646,47.750342648354646,51.33450480401705,45.180100180492246,48.23560797692261,47.750342648354646
Daniel yıl sonuna kadar neler başaracağını tahmin etti.,100.00000000000004,18.36028134946796,11.339582221952005,46.713797772820016,8.913765521398126,59.694917920196445
Daniel onun yıl sonuna kadar neler başaracağını tahmin etti.,79.56371661921447,18.36028134946796,9.980099403873663,27.77619034011791,17.747405280050266,39.93879176377878
Laura müzede gördüklerini tarif etti.,34.98330125272251,17.965205598154213,34.98330125272251,19.304869754804482,11.51015341649912,19.304869754804482
"Laura, onun müzede gördüklerini tarif etti.",13.943458243384395,7.654112967106117,13.943458243384395,17.39350277271197,7.715486568024961,13.134549472120788
Brian neyi yanlış yaptığını anladı.,100.00000000000004,20.412414523193153,100.00000000000004,13.888095170058955,9.652434877402245,100.00000000000004
"Brian, onun neyi yanlış yaptığını anladı.",56.98363775444274,14.62613413027904,56.98363775444274,17.82013231677092,23.45000810620359,72.89545183625967
Sophie etkinliğe katılıp katılamayacağını sordu.,53.7284965911771,13.134549472120788,15.619699684601283,19.304869754804482,13.134549472120788,64.34588841607616
"Sophie, onun etkinliğe katılıp katılamayacağını sordu.",38.49815007763549,16.515821590069034,17.026116978186877,17.39350277271197,14.25876976452075,61.29752413741059
Alex özür dilemesi gerekip gerekmediğini düşündü.,12.223075560872525,13.134549472120788,27.48254571080018,13.134549472120788,27.48254571080018,10.552670315936318
Alex onun özür dilemesi gerekip gerekmediğini düşündü.,7.267884212102741,13.134549472120788,13.83254362586636,6.27465531099474,13.540372457315735,6.27465531099474
Henry yurt dışına çıkmayı karşılayıp karşılayamayacağını değerlendirdi.,12.600736402830258,8.29519350710986,9.287528999566801,27.77619034011791,10.552670315936318,16.784459625186194
"Henry, onun yurt dışına çıkmayı karşılayıp karşılayamayacağını değerlendirdi.",9.469167282754096,10.600313379512592,10.600313379512592,11.731175160264002,8.737167851715874,8.29519350710986
Jack kapıyı kilitleyip kilitlemediğini sorguladı.,53.7284965911771,14.535768424205482,27.77619034011791,13.134549472120788,10.552670315936318,7.809849842300641
Jack onun kapıyı kilitleyip kilitlemediğini sorguladı.,29.05925408079185,8.643019616048525,27.77619034011791,8.643019616048525,7.267884212102741,6.567274736060396
